H2,CH4,C2H6,C2H4,C2H2,Type
19.0,12.0,2.0,8.0,63.0,Arc discharge
210.0,43.0,12.0,102.0,187.0,Arc discharge
26.0,68.0,93.0,31.0,59.0,Arc discharge
114.0,41.0,27.0,15.0,42.0,Arc discharge
7150.0,1440.0,97.0,1210.0,1760.0,Arc discharge
8.0,0.0001,0.0001,43.0,101.0,Arc discharge
1607.0,615.0,80.0,916.0,1294.0,Arc discharge
46.0,20.0,14.0,10.0,42.0,Arc discharge
1027.0,185.0,17.0,271.0,399.0,Arc discharge
37.0,11.8,15.5,43.6,83.3,Arc discharge
200.0,48.0,14.0,117.0,131.0,Arc discharge
392.0,153.0,82.0,45.0,236.0,Arc discharge
12.4,6.5,15.3,69.0,15.0,Arc discharge
71.0,151.0,9.0,89.0,412.0,Arc discharge
127.0,24.0,0.0001,32.0,81.0,Arc discharge
800.0,160.0,23.0,260.0,600.0,Arc discharge
212.0,38.0,15.0,47.0,78.0,Arc discharge
8200.0,3790.0,250.0,4620.0,277.0,Arc discharge
2800.0,2800.0,234.0,3500.0,3600.0,Arc discharge
195.7,58.0,16.4,91.6,96.9,Arc discharge
235.0,39.45,9.63,210.0,257.0,Arc discharge
441.0,207.0,43.0,224.0,261.0,Arc discharge
110.0,62.0,90.0,140.0,250.0,Arc discharge
88.0,21.8,79.2,41.2,41.5,Arc discharge
531.0,111.9,22.7,122.5,169.0,Arc discharge
9474.0,4066.0,353.0,6552.0,12997.0,Arc discharge
152.0,116.0,7.0,131.0,414.0,Arc discharge
150.0,130.0,9.0,55.0,30.0,Arc discharge
75.0,15.0,7.0,14.0,250.0,Arc discharge
43.0,19.0,3.0,0.0001,40.0,Arc discharge
1114.0,719.0,188.0,1217.0,699.0,Arc discharge
35.0,11.0,0.0001,7.0,146.0,Arc discharge
629.0,402.0,16.0,298.0,1127.0,Arc discharge
7940.0,2000.0,355.0,3120.0,5390.0,Arc discharge
7020.0,1850.0,0.0001,2960.0,4410.0,Arc discharge
151.0,51.0,16.0,12.0,19.0,Arc discharge
2.0,41.0,133.0,9.0,21.0,Arc discharge
75.5,30.2,2.33,30.3,18.2,Arc discharge
17.0,42.0,192.0,12.0,20.0,Arc discharge
156.0,55.0,103.0,13.0,16.0,Arc discharge
21.0,34.0,5.0,47.0,62.0,Arc discharge
64.0,18.0,1.0,4.0,122.0,Arc discharge
25.0,28.0,27.0,15.0,80.0,Arc discharge
2770.0,660.0,54.0,712.0,763.0,Arc discharge
4419.0,3564.0,668.0,2861.0,2025.0,Arc discharge
1500.0,395.0,28.0,395.0,323.0,Arc discharge
10.0,15.0,0.0001,0.0001,35.0,Arc discharge
1570.0,1110.0,175.0,1780.0,1830.0,Arc discharge
22.0,14.0,19.0,6.0,56.0,Arc discharge
1249.0,370.0,56.0,606.0,1371.0,Arc discharge
1900.0,530.0,35.0,383.0,434.0,Arc discharge
5900.0,1500.0,68.0,1200.0,2300.0,Arc discharge
3700.0,1690.0,128.0,2810.0,3270.0,Arc discharge
75.0,5.0,31.0,69.0,36.0,Arc discharge
323.0,115.0,7.0,130.0,446.0,Arc discharge
127.0,107.0,11.0,154.0,224.0,Arc discharge
3090.0,5020.0,323.0,3800.0,2540.0,Arc discharge
48.0,20.0,69.0,41.0,31.0,Arc discharge
60.0,5.0,2.0,21.0,21.0,Arc discharge
30.0,14.0,1.0,9.0,43.0,Arc discharge
7020.0,1850.0,0.0001,2960.0,4410.0,Arc discharge
1170.0,255.0,18.0,312.0,325.0,Arc discharge
858.0,1324.0,208.0,2793.0,7672.0,Arc discharge
14.3,92.6,83.9,16.7,26.8,Arc discharge
57.0,148.0,197.0,72.0,42.0,Arc discharge
260.0,215.0,35.0,334.0,277.0,Arc discharge
215.0,84.8,87.7,1002.0,212.0,Arc discharge
440.0,89.0,19.0,304.0,757.0,Arc discharge
77.0,36.0,27.0,18.0,76.0,Arc discharge
60.0,85.0,5.0,67.0,227.0,Arc discharge
594.0,230.0,44.0,130.0,102.0,Arc discharge
1820.0,405.0,35.0,365.0,634.0,Arc discharge
123.0,50.7,9.0,62.0,65.9,Arc discharge
90.0,28.0,8.0,31.0,32.0,Arc discharge
26.6,4.0,0.0001,8.0,50.0,Arc discharge
46.0,21.0,1.0,11.0,93.0,Arc discharge
13.0,3.0,1.0,3.0,6.0,Arc discharge
305.0,85.0,25.0,197.0,130.0,Arc discharge
75.0,15.0,7.0,14.0,26.0,Arc discharge
307.0,22.0,2.0,33.0,109.0,Arc discharge
0.0001,21.0,0.0001,0.0001,40.0,Arc discharge
88.0,45.0,57.0,15.0,39.0,Arc discharge
80.0,28.0,4.0,15.0,107.0,Arc discharge
755.0,229.0,32.0,404.0,460.0,Arc discharge
530.0,345.0,85.0,266.0,250.0,Arc discharge
310.0,230.0,54.0,610.0,760.0,Arc discharge
620.0,325.0,38.0,181.0,244.0,Arc discharge
4906.0,8784.0,1404.0,9924.0,9671.0,Arc discharge
85.0,98.0,315.0,30.0,0.0001,Low-temperature overheating
12.0,28.0,102.0,3.0,0.0001,Low-temperature overheating
36.0,167.0,230.0,18.0,0.0001,Low-temperature overheating
24.0,47.0,113.0,10.0,0.0001,Low-temperature overheating
54.9,8.8,80.0,2.5,0.0001,Low-temperature overheating
112.0,68.0,136.0,9.0,0.0001,Low-temperature overheating
7.0,15.0,78.0,58.0,0.0001,Low-temperature overheating
219.0,44.0,3.0,3.0,0.0001,Low-temperature overheating
39.4,65.2,103.9,8.1,0.0001,Low-temperature overheating
95.0,110.0,160.0,50.0,0.0001,Low-temperature overheating
0.0001,153.0,395.0,11.7,0.0001,Low-temperature overheating
121.0,73.0,179.0,11.0,0.0001,Low-temperature overheating
74.0,173.0,263.0,33.0,0.0001,Low-temperature overheating
13.0,59.0,117.0,44.0,0.0001,Low-temperature overheating
13.0,138.0,83.0,16.0,0.0001,Low-temperature overheating
36.0,21.0,65.0,2.0,0.0001,Low-temperature overheating
9.0,56.0,135.0,7.0,1.0,Low-temperature overheating
0.0001,187.0,609.0,13.0,0.0001,Low-temperature overheating
820.0,1740.0,951.0,867.0,128.0,Low-temperature overheating
10.0,56.0,72.0,70.0,0.0001,Low-temperature overheating
12.0,18.0,4.0,4.0,0.0001,Low-temperature overheating
10.0,26.0,147.0,6.0,0.0001,Low-temperature overheating
143.2,123.0,38.0,75.0,0.0001,Low-temperature overheating
18.0,30.0,146.0,8.0,0.0001,Low-temperature overheating
27.0,28.0,136.0,8.0,0.0001,Low-temperature overheating
34.0,8.6,70.3,3.1,0.0001,Low-temperature overheating
113.0,137.0,173.0,34.0,0.0001,Low-temperature overheating
45.0,125.0,111.0,25.0,0.0001,Low-temperature overheating
78.0,66.0,62.0,2.6,0.0001,Low-temperature overheating
55.0,22.0,358.0,2.6,0.0001,Low-temperature overheating
10.0,63.0,176.0,35.0,0.0001,Low-temperature overheating
11.0,271.0,465.0,32.0,0.0001,Low-temperature overheating
34.0,30.0,34.0,2.5,0.0001,Low-temperature overheating
187.0,86.0,155.0,21.0,6.0,Low-temperature overheating
93.5,131.9,39.0,11.7,0.0001,Low-temperature overheating
48.0,40.0,11.0,0.5,0.0001,Low-temperature overheating
124.0,166.0,87.0,59.0,0.0001,Low-temperature overheating
8.0,16.0,88.0,7.0,0.0001,Low-temperature overheating
320.0,131.0,187.0,127.0,0.0001,Low-temperature overheating
92.0,27.0,67.0,7.0,0.0001,Low-temperature overheating
900.0,9180.0,0.0001,900.0,22.0,Low-temperature overheating
6.0,197.0,476.9,16.9,0.0001,Low-temperature overheating
0.0001,215.0,555.0,18.4,0.0001,Low-temperature overheating
78.0,66.0,283.0,2.6,0.0001,Low-temperature overheating
130.0,140.0,24.0,120.0,0.0001,Low-temperature overheating
10.0,24.0,80.0,5.0,0.0001,Low-temperature overheating
0.0001,224.0,0.0001,45.0,0.0001,Low-temperature overheating
19.0,48.0,76.0,18.0,0.0001,Low-temperature overheating
6.0,38.0,93.0,32.0,0.0001,Low-temperature overheating
11.0,46.0,155.0,18.0,0.0001,Low-temperature overheating
27.0,49.0,192.0,9.0,0.0001,Low-temperature overheating
103.0,74.0,80.0,9.0,0.0001,Low-temperature overheating
31.2,8.9,119.0,4.4,0.0001,Low-temperature overheating
0.0001,33.7,136.0,11.4,0.0001,Low-temperature overheating
6.0,3.0,0.8,0.7,0.0001,Low-temperature overheating
181.0,262.0,41.0,28.0,0.0001,Low-temperature overheating
14.0,44.0,124.0,7.0,1.0,Low-temperature overheating
1.0,27.0,49.0,4.0,1.0,Low-temperature overheating
50.0,3.0,1.0,0.0001,0.0001,Low-temperature overheating
21.0,14.0,191.0,90.0,0.0001,Low-temperature overheating
160.0,130.0,33.0,96.0,0.0001,Low-temperature overheating
16.0,68.0,157.0,19.0,0.0001,Low-temperature overheating
122.0,161.0,271.0,35.0,0.0001,Low-temperature overheating
4.0,99.0,82.0,4.2,0.1,Low-temperature overheating
157.0,46.0,76.0,12.0,0.0001,Low-temperature overheating
38.0,38.0,296.0,14.0,0.0001,Low-temperature overheating
24.7,20.4,117.0,71.0,6.8,Low-temperature overheating
74.8,30.1,82.3,13.6,0.0001,Low-temperature overheating
33.0,29.0,9.0,12.0,0.0001,Low-temperature overheating
74.0,100.0,85.0,17.0,0.0001,Low-temperature overheating
5.0,14.0,234.0,5.0,0.0001,Low-temperature overheating
181.0,162.0,70.0,132.0,0.0001,Low-temperature overheating
36.0,94.0,78.0,13.0,2.0,Low-temperature overheating
505.57,475.35,242.3,524.45,3.29,Low-temperature overheating
25.0,49.0,42.0,58.0,0.0001,Middle-temperature overheating
14.0,15.0,42.0,73.0,0.0001,Middle-temperature overheating
180.0,175.0,75.0,50.0,4.0,Middle-temperature overheating
59.0,119.0,36.0,70.0,0.0001,Middle-temperature overheating
185.0,302.0,27.0,33.0,0.0001,Middle-temperature overheating
1270.0,3450.0,520.0,1390.0,8.0,Middle-temperature overheating
119.0,670.0,286.0,934.0,19.0,Middle-temperature overheating
72.0,442.0,221.0,461.0,0.7,Middle-temperature overheating
16.0,98.0,35.0,64.0,0.0001,Middle-temperature overheating
41.0,65.0,22.0,58.0,0.0001,Middle-temperature overheating
110.6,458.8,242.6,406.4,0.0001,Middle-temperature overheating
200.0,700.0,250.0,740.0,1.0,Middle-temperature overheating
15.0,159.0,29.0,87.0,0.0001,Middle-temperature overheating
18.0,63.0,20.0,51.0,0.0001,Middle-temperature overheating
54.0,143.0,23.0,101.0,0.0001,Middle-temperature overheating
43.0,116.0,65.0,139.0,0.0001,Middle-temperature overheating
73.0,177.0,37.0,52.0,0.0001,Middle-temperature overheating
57.0,141.0,38.0,51.0,0.0001,Middle-temperature overheating
15.0,139.0,160.0,343.0,0.0001,Middle-temperature overheating
23.51,61.33,45.21,98.03,1.01,Middle-temperature overheating
2.0,123.0,7.0,18.0,0.0001,Middle-temperature overheating
24.0,80.0,258.0,741.0,6.0,Middle-temperature overheating
613.0,3240.0,1432.0,2788.0,0.0001,Middle-temperature overheating
109.0,226.0,68.0,192.0,0.0001,Middle-temperature overheating
35.0,283.0,121.0,222.0,0.0001,Middle-temperature overheating
2.0,5.0,81.0,172.0,0.0001,Middle-temperature overheating
30.4,117.0,44.2,138.0,0.1,Middle-temperature overheating
0.0001,6.0,52.0,67.0,0.0001,Middle-temperature overheating
2004.0,9739.0,2750.0,5113.0,0.0001,Middle-temperature overheating
31.0,63.0,246.0,714.0,7.0,Middle-temperature overheating
26.0,398.0,85.0,319.0,0.0001,Middle-temperature overheating
152.0,32.0,28.0,55.0,0.0001,Middle-temperature overheating
300.0,490.0,180.0,360.0,95.0,Middle-temperature overheating
960.0,4000.0,1290.0,1560.0,6.0,Middle-temperature overheating
0.67,0.224,0.045,0.067,0.002,Middle-temperature overheating
0.0001,4.9,81.0,172.0,0.0001,Middle-temperature overheating
24.0,34.6,14.2,21.7,0.0001,Middle-temperature overheating
220.0,340.0,42.0,480.0,14.0,High-temperature overheating
290.0,966.0,299.0,1810.0,57.0,High-temperature overheating
8800.0,64064.0,72128.0,95650.0,0.0001,High-temperature overheating
39.0,525.0,538.0,2925.0,16.0,High-temperature overheating
290.0,1260.0,231.0,820.0,8.0,High-temperature overheating
0.0001,153.0,130.0,677.0,13.0,High-temperature overheating
15.55,7.4,7.4,41.93,6.35,High-temperature overheating
35.1,50.6,16.1,93.0,1.1,High-temperature overheating
0.0001,28.0,64.0,408.0,6.0,High-temperature overheating
156.0,240.0,54.0,399.0,0.98,High-temperature overheating
89.0,281.0,145.0,1216.0,22.0,High-temperature overheating
1100.0,1600.0,221.0,2010.0,26.0,High-temperature overheating
0.0001,0.0001,9.0,57.0,0.0001,High-temperature overheating
137.0,369.0,144.0,1242.0,16.0,High-temperature overheating
425.0,17424.0,7299.0,37043.0,158.0,High-temperature overheating
30.0,25.5,31.5,93.0,1.8,High-temperature overheating
107.0,143.0,34.0,222.0,2.0,High-temperature overheating
860.0,1670.0,30.0,2050.0,40.0,High-temperature overheating
0.0001,106.0,170.0,871.0,6.0,High-temperature overheating
8.0,1.0,0.0001,60.0,0.0001,High-temperature overheating
53.0,150.0,64.0,379.0,0.0001,High-temperature overheating
400.0,940.0,210.0,820.0,24.0,High-temperature overheating
199.0,770.0,217.0,1508.0,72.0,High-temperature overheating
244.0,754.0,172.0,1281.0,27.0,High-temperature overheating
60.0,144.0,67.0,449.0,9.0,High-temperature overheating
6709.0,10500.0,1400.0,17700.0,750.0,High-temperature overheating
86.0,277.0,63.0,338.0,0.0001,High-temperature overheating
7.0,31.0,23.0,148.0,0.0001,High-temperature overheating
300.0,700.0,280.0,1700.0,36.0,High-temperature overheating
20.0,26.0,6.0,55.0,0.0001,High-temperature overheating
3910.0,4290.0,626.0,6040.0,1230.0,High-temperature overheating
23.0,14151.0,5332.0,23264.0,0.0001,High-temperature overheating
135.65,278.53,58.86,492.0,2.95,High-temperature overheating
9.0,47.0,144.0,628.0,0.0001,High-temperature overheating
8.0,88.0,45.0,252.0,0.0001,High-temperature overheating
179.0,306.0,73.0,579.0,0.0001,High-temperature overheating
80.0,619.0,326.0,2480.0,0.0001,High-temperature overheating
416.0,695.0,74.0,867.0,0.0001,High-temperature overheating
19.3,103.0,159.0,19.0,0.6,High-temperature overheating
137.0,279.0,66.0,505.0,0.0001,High-temperature overheating
12705.0,23498.0,6047.0,34257.0,5188.0,High-temperature overheating
46.0,147.0,27.0,150.0,0.0001,High-temperature overheating
21.0,42.0,4.0,92.0,0.0001,High-temperature overheating
165.62,240.95,61.32,514.53,13.53,High-temperature overheating
39.0,7.0,12.0,65.0,0.0001,High-temperature overheating
86.0,480.0,155.0,644.0,9.0,High-temperature overheating
68.0,99.2,35.9,202.9,0.0001,High-temperature overheating
172.9,334.0,172.0,812.5,37.7,High-temperature overheating
164.0,244.0,103.0,497.0,8.3,High-temperature overheating
20.0,48.0,36.0,186.0,0.0001,High-temperature overheating
0.0001,0.0001,0.0001,142.0,0.0001,High-temperature overheating
63.0,149.6,57.5,276.0,0.0001,High-temperature overheating
121.0,450.0,146.0,898.0,116.0,High-temperature overheating
30.0,51.0,12.0,54.0,0.0001,High-temperature overheating
22400.0,22400.0,2690.0,13440.0,1570.0,High-temperature overheating
36.0,30.0,10.0,93.0,7.1,High-temperature overheating
17.0,40.0,11.0,86.0,0.0001,High-temperature overheating
0.0001,3.4,0.0001,54.0,0.0001,High-temperature overheating
18.0,35.0,2.0,110.0,0.0001,High-temperature overheating
35.0,29.0,7.0,78.0,0.0001,High-temperature overheating
6.0,2990.0,29990.0,26076.0,67.0,High-temperature overheating
236.0,410.2,159.0,817.3,3.5,High-temperature overheating
0.0001,100.0,309.0,1365.0,7.0,High-temperature overheating
173.0,334.0,172.0,812.5,37.7,High-temperature overheating
110.0,7.0,0.0001,0.0001,0.0001,Partial discharge
240.0,20.0,5.0,28.0,96.0,Partial discharge
5000.0,4000.0,2000.0,2000.0,8000.0,Partial discharge
94.96,4.37,0.62,0.02,0.02,Partial discharge
41.0,112.0,0.0001,254.0,4536.0,Partial discharge
100.0,18.0,0.0001,0.0001,0.0001,Partial discharge
37800.0,1740.0,249.0,8.0,8.0,Partial discharge
103.5,4.7,16.3,3.5,0.0001,Partial discharge
200.0,230.0,2.0,170.0,480.0,Partial discharge
40280.0,1069.0,1060.0,1.0,1.0,Partial discharge
116.0,14.0,134.0,5.3,0.0001,Partial discharge
88.0,9.0,0.0001,0.03,0.0001,Partial discharge
105.0,23.0,13.0,4.0,3.0,Partial discharge
625.0,49.0,9.0,7.0,0.6,Partial discharge
134.0,13.0,267.0,0.0001,0.0001,Partial discharge
181.5,22.0,76.0,3.7,0.0001,Partial discharge
121.0,3.0,1.0,0.0001,0.0001,Partial discharge
16000.0,3600.0,670.0,14.0,0.0001,Partial discharge
890.0,110.0,3.0,84.0,700.0,Partial discharge
2091.0,149.0,20.0,3.0,0.0001,Partial discharge
26788.0,18342.0,2111.0,27.0,0.0001,Partial discharge
1950.0,123.0,38.0,2.0,2.0,Partial discharge
650.0,53.0,35.0,20.0,0.0001,Partial discharge
92.8,6.75,0.44,0.0001,0.0001,Partial discharge
187.0,5.0,1.0,0.0001,0.0001,Partial discharge
111.7,19.4,104.1,6.4,3.8,Partial discharge
85.87,7.01,4.49,2.64,0.0001,Partial discharge
195.0,5.3,0.0001,0.0001,0.0001,Partial discharge
60.0,5.0,1.0,6.0,29.0,Partial discharge
2240.0,360.0,25.0,169.0,828.0,Partial discharge
720.0,7.0,0.0001,15.0,101.0,Spark discharge
109.0,19.0,5.0,12.0,59.0,Spark discharge
8.0,0.0001,0.0001,43.0,101.0,Spark discharge
169.0,38.0,48.5,6.5,5.8,Spark discharge
14.1,4.0,1.3,1.5,9.5,Spark discharge
124.0,14.0,4.0,0.0001,13.0,Spark discharge
174.0,27.0,6.0,12.0,29.0,Spark discharge
179.0,39.3,64.0,654.0,168.0,Spark discharge
160.0,10.0,3.0,1.0,1.0,Spark discharge
4.0,1.0,2.0,7.0,52.0,Spark discharge
1330.0,10.0,20.0,66.0,182.0,Spark discharge
137.0,33.0,8.0,29.0,111.0,Spark discharge
595.0,32.0,4.0,18.0,65.0,Spark discharge
56.0,334.1,75.0,32.0,31.0,Spark discharge
716.0,7.1,33.0,20.0,6.8,Spark discharge
4230.0,690.0,5.0,196.0,1180.0,Spark discharge
142.0,17.0,4.0,7.0,38.0,Spark discharge
163.0,26.0,7.0,19.0,133.0,Spark discharge
549.0,121.3,25.5,31.9,198.5,Spark discharge
476.0,28.0,27.0,36.0,148.0,Spark discharge
345.0,112.3,27.5,51.5,58.8,Spark discharge
234.5,30.28,6.11,47.69,175.88,Spark discharge
153.0,18.0,9.0,0.0001,11.0,Spark discharge
1230.0,163.0,27.0,233.0,692.0,Spark discharge
111.0,2.8,47.0,0.0001,27.5,Spark discharge
500.0,97.0,193.0,40.0,121.0,Spark discharge
1000.0,500.0,1.0,400.0,500.0,Spark discharge
595.0,80.0,9.0,89.0,244.0,Spark discharge
102.0,6.0,6.0,7.0,10.0,Spark discharge
315.0,60.0,14.0,93.0,218.0,Spark discharge
67.8,8.89,1.88,12.67,36.2,Spark discharge
95.0,10.0,0.0001,11.0,39.0,Spark discharge
4127.0,267.0,18.0,355.0,2060.0,Spark discharge
1570.0,735.0,87.0,1330.0,1740.0,Arc discharge
800.0,1393.0,304.0,2817.0,3000.0,Arc discharge
29.1,11.4,1.41,20.34,37.6,Arc discharge
245.0,120.0,18.0,131.0,167.0,Arc discharge
61.0,21.0,2.0,26.0,89.0,Arc discharge
99.0,170.0,20.0,200.0,190.0,Arc discharge
243.0,127.0,20.0,122.0,588.0,Arc discharge
2850.0,1115.0,138.0,1987.0,3675.0,Arc discharge
512.0,87.0,11.5,163.59,185.21,Arc discharge
235.46,333.59,177.52,1201.85,148.87,Arc discharge
120.0,31.0,0.0001,66.0,94.0,Arc discharge
615.0,200.0,42.0,102.0,68.0,Arc discharge
24.0,13.0,5.0,43.0,319.0,Arc discharge
56.0,10.0,1.3,13.5,17.6,Arc discharge
85.0,49.0,4.0,50.0,399.0,Arc discharge
5900.0,1500.0,68.0,1200.0,800.0,Arc discharge
34.0,21.0,4.0,49.0,56.0,Arc discharge
475.3,195.8,32.6,187.3,221.2,Arc discharge
191.0,62.0,27.0,123.0,71.0,Arc discharge
8200.0,3790.0,250.0,4620.0,5830.0,Arc discharge
0.0001,0.0001,10.0,5.0,35.0,Arc discharge
530.0,345.0,85.0,266.0,21.0,Arc discharge
4.0,88.0,213.0,14.0,35.0,Arc discharge
59.0,20.0,120.0,5.5,8.9,Arc discharge
810.0,580.0,111.0,570.0,490.0,Arc discharge
65.4,20.2,70.0,39.0,40.2,Arc discharge
60.0,40.0,6.9,110.0,70.0,Arc discharge
84.0,6.0,1.0,14.0,86.0,Arc discharge
145.88,40.65,9.37,34.02,59.71,Arc discharge
5000.0,1200.0,83.0,1000.0,1100.0,Arc discharge
20000.0,13000.0,1850.0,29000.0,57000.0,Arc discharge
10000.0,6730.0,345.0,7330.0,10400.0,Arc discharge
420.0,250.0,41.0,530.0,800.0,Arc discharge
70.0,4.0,91.0,0.0001,34.0,Arc discharge
